Reconstruction error,Residual variance,Output dimension,Number of neighbors,KNN Accuracy,KNN F1 measure,KNN accuracy std,KNN F1 measure std
3.0300537234384093e-18,0.9260930489917762,1.0,5.0,64.92863449465632,0.3996447807827982,1.0744451369906811,0.03212295334909599
4.5773461308605135e-18,0.9677721680041792,2.0,5.0,74.40219738853865,0.6185898988687851,0.700109354854651,0.013335360876930134
1.6925139441203612e-17,0.9764119670003084,3.0,5.0,77.00768681203188,0.6686112395437777,2.1289100098876736,0.02670759024925597
9.511960666647467e-18,0.9873345237949752,4.0,5.0,77.92262476789055,0.6815384740535924,1.7464958554088583,0.03313828675346515
1.9303033102352185e-17,0.9457967504157244,1.0,10.0,65.49479871380997,0.4589735869000148,1.3381112845609937,0.024752877342256376
1.1562849947857748e-16,0.6740593342194698,2.0,10.0,69.23233158207168,0.5429136879215675,1.988320238951028,0.032901479369341166
2.7206044669072613e-16,0.6559837117859117,3.0,10.0,69.88374811502561,0.5572117446411791,1.9671975645522388,0.030053342575020275
4.654771291711182e-16,0.7275206826054932,4.0,10.0,73.31636974531605,0.5951589899025128,0.4778292666466287,0.015339982819955866
4.637189415642562e-17,0.8524571318750742,1.0,15.0,61.01813335601776,0.3832214659816656,1.5901350173138162,0.028127413671364832
8.2146519671478e-18,0.81996221917054,2.0,15.0,68.88440953838649,0.5578058548055032,2.4505378678290173,0.02976211410852682
1.0474721537238101e-16,0.7486227099656991,3.0,15.0,69.88139070271764,0.5744433397483248,1.120251892611242,0.03087652159623758
2.6711949762926983e-16,0.7360597997393391,4.0,15.0,68.53412515099828,0.5562842759113054,2.6898375894231044,0.0429063345166973
1.0134411240056364e-15,0.9758551901788096,1.0,5.0,79.05287010273945,0.7138441798512646,1.4081463133126555,0.017770568303376102
2.0268822480112733e-15,0.9110587098385324,2.0,5.0,79.70410047553031,0.7223451561620156,0.7701769507831692,0.01369283775428823
3.040323372016909e-15,0.9230569407387056,3.0,5.0,82.39683018145273,0.7603050875733379,1.5624952546416517,0.02276983586014987
4.0537644960225466e-15,0.8832081573087938,4.0,5.0,83.61507358976998,0.7742809183906592,1.4686057168521058,0.025370492558302732
1.5126033657441472e-17,0.8572386724027451,1.0,10.0,65.05717767631431,0.4710658486477609,1.4857619314674468,0.017621614856209285
6.34328352371761e-17,0.8907900131437022,2.0,10.0,71.44708048057267,0.5975763630073236,1.6086917736171746,0.033626175657851864
1.2596208608998188e-16,0.7433099462977671,3.0,10.0,74.22752614307169,0.6250008260258365,1.334324386309413,0.03621419394676036
2.3542738960711284e-16,0.70947220994787,4.0,10.0,75.53149795028621,0.6391741124019352,1.3525118375786376,0.022133280993630527
9.307519605441635e-17,0.6775347576465187,1.0,15.0,65.58005061666067,0.4614607509632845,1.5426350233149402,0.031472273209577684
2.2043456987386447e-16,0.5215911248004332,2.0,15.0,78.79162287485127,0.6933303005649765,1.8204801805085893,0.027086940663359302
6.879335566318817e-16,0.624949804983502,3.0,15.0,78.31581989476813,0.6860104767122573,2.255564457687584,0.03158998119240351
7.222947378686405e-16,0.7024353806455595,4.0,15.0,78.01137405720459,0.6931522116963793,1.7345812631013928,0.024772707893660647
5.029604800157205e-18,0.9993090428879504,1.0,5.0,69.27222102019468,0.5431078658012032,1.951156920644244,0.02600380746725672
1.8011848051284988e-18,0.9926258842358568,2.0,5.0,78.00835193393905,0.6963904773791312,1.4015623316436077,0.026215252254101085
4.663849508286366e-18,0.9918331535784588,3.0,5.0,78.44190806359117,0.7048855244130527,1.7771826269161437,0.02550304111426771
1.4802480946167614e-17,0.931724567579328,4.0,5.0,78.35626904622916,0.7021844609001409,1.4283220791568632,0.02224624159206072
1.4462287975441383e-17,0.8610892728063873,1.0,10.0,65.62315409150656,0.5002474439311039,0.8797355910081534,0.005927966915995152
2.7730257938261357e-17,0.8228839870070683,2.0,10.0,66.96947404822535,0.5145090360482675,1.350835198522602,0.020412598074639646
7.141498177036357e-19,0.8226342608439594,3.0,10.0,68.01172295340427,0.5361021588315603,1.6090342059573757,0.01569133271374424
6.892229890273734e-17,0.8015285028537362,4.0,10.0,68.23289787060307,0.5344086587800394,1.3103002426672423,0.02196258880488576
6.847650385494519e-17,0.8236273267477532,1.0,15.0,61.88675338935809,0.3824557831004537,1.7955051739849597,0.04569968133416
7.544315299582203e-14,0.8967623041063029,2.0,15.0,58.2782360893051,0.3180518197239558,1.893058369921394,0.037343794851870366
6.65245923996085e-13,0.7363292942616686,3.0,15.0,62.277965068052225,0.4011165788991405,2.244993428843152,0.038976687657706746
4.745093750058712e-12,0.664321521820649,4.0,15.0,65.79734966282614,0.4663876924086341,1.0730475527701986,0.014665464361160325
1.541024413005652e-17,0.9050809672822172,1.0,5.0,70.57865030594171,0.5700043437952316,0.6067320068739563,0.016122264905997576
1.5211180148701546e-17,0.9592788785370004,2.0,5.0,74.92450650605112,0.6493174256405647,1.75531895023471,0.031120080245302488
3.4122207933557766e-17,0.901512493418989,3.0,5.0,79.39871397436127,0.7177323501340314,1.016389803779784,0.022541177448406655
5.5064799668676836e-17,0.8743821798974667,4.0,5.0,79.09511941886797,0.7139905424863293,1.3435037447962197,0.014974808365859715
7.273481052446156e-17,0.8159352042758199,1.0,10.0,64.8415832490373,0.4403854242530542,1.1435933928346065,0.027389092880534986
1.4546962104892315e-16,0.9532290509988524,2.0,10.0,65.84007588595082,0.4662034751250729,1.4946166047143843,0.040289069276212584
2.1820443157338472e-16,0.8442406605139492,3.0,10.0,67.70907645860906,0.5042444891228375,0.9482622694465808,0.00867800031889892
2.909392420978463e-16,0.8817124190526893,4.0,10.0,68.62250129808703,0.5235650128282823,1.3717355693297597,0.024134006503840958
2.8315116722437766e-17,0.8849649083229295,1.0,15.0,57.93201537691166,0.31749817039101885,1.7265076426522652,0.020296953704740425
1.248067750023692e-16,0.8843602176054585,2.0,15.0,64.70944631323769,0.438129652948194,1.637706740414644,0.02824663719844548
1.4181862450984848e-16,0.8821529142959955,3.0,15.0,68.58015561428026,0.5300857147241043,1.8989979535200991,0.028983058909619136
2.313193677804273e-12,0.8275088827328461,4.0,15.0,70.09840393344507,0.5576690640093287,1.6836089363257114,0.033372042406062986
1.0574099423467428e-17,0.7377245777044927,1.0,5.0,71.8790283590146,0.5841619674735209,2.650918947641675,0.03506018522406632
2.673063328473189e-17,0.7464235655915481,2.0,5.0,76.88046113475097,0.6713081756499081,1.7461643205811526,0.031406811628619184
2.2183040083963463e-17,0.7320008361817774,3.0,5.0,76.96713553959839,0.6632500032056476,1.2233601027145768,0.014368397088994896
4.908299993059673e-17,0.7394860535302317,4.0,5.0,78.96553838402704,0.7002526685981079,1.8933545007770451,0.0266505504299037
2.277769198268125e-17,0.6285757393717099,1.0,10.0,66.79376618242422,0.5205005303615421,2.512791569875413,0.034329473924687666
3.7926753290964686e-17,0.9019117434767604,2.0,10.0,67.66767595885328,0.530144319521539,1.6374029116975233,0.024108882634599253
2.0393461458467854e-16,0.7177513890479471,3.0,10.0,71.75256663701664,0.5893927719684462,0.7957640548290603,0.014294457745439025
9.527728717407188e-13,0.6299878116435864,4.0,10.0,72.27194465659717,0.6153616138175699,1.4677428395731318,0.012001631988718708
6.649163944932512e-17,0.8300391219456742,1.0,15.0,68.01361702005248,0.4969480339891471,1.3626714926624004,0.0283761788419492
1.5748601219663587e-16,0.6224165875552479,2.0,15.0,68.27420118078146,0.5255007980525223,1.5609306285019624,0.023972436080415944
4.294406455615079e-16,0.6416949929550138,3.0,15.0,68.44688815616578,0.5280644508220774,2.355671190985323,0.04489213365034868
1.8768038739405087e-13,0.569920982918082,4.0,15.0,73.79264757764739,0.6386622513165088,1.2246109095578213,0.01262290878490131
