Wall clock time [s],Components,Neighbors
15.519427277962677,1.0,5.0
15.6152745380532,2.0,5.0
15.59380090306513,3.0,5.0
15.541662767063826,4.0,5.0
15.68636641302146,1.0,6.0
15.686950672999956,2.0,6.0
15.594944566953927,3.0,6.0
15.633505588048138,4.0,6.0
15.808605156023987,1.0,8.0
15.806784798041917,2.0,8.0
15.804133431985974,3.0,8.0
15.782911443035118,4.0,8.0
15.916392178973183,1.0,10.0
15.918088259990327,2.0,10.0
15.973179145017639,3.0,10.0
16.032128109014593,4.0,10.0
16.12358780496288,1.0,12.0
16.080209724023007,2.0,12.0
16.068301842082292,3.0,12.0
16.13821324298624,4.0,12.0
16.25138667097781,1.0,14.0
16.17884035699535,2.0,14.0
16.173393488978036,3.0,14.0
16.164460484986193,4.0,14.0
16.280340616009198,1.0,16.0
16.274720360990614,2.0,16.0
16.25823501998093,3.0,16.0
16.25538312003482,4.0,16.0
16.374207924003713,1.0,18.0
16.37064482306596,2.0,18.0
16.41487734206021,3.0,18.0
16.350108238053508,4.0,18.0
16.471593260997906,1.0,20.0
16.455251147970557,2.0,20.0
16.456493266974576,3.0,20.0
16.406211196095683,4.0,20.0
16.551626965985633,1.0,22.0
16.583574218093418,2.0,22.0
16.565404896973632,3.0,22.0
16.5838043729309,4.0,22.0
16.658618765999563,1.0,24.0
16.620829973951913,2.0,24.0
16.613574148039334,3.0,24.0
16.647140927030705,4.0,24.0
16.70010957797058,1.0,26.0
16.79281951696612,2.0,26.0
16.738664731034078,3.0,26.0
16.784396309987642,4.0,26.0
16.845646796980873,1.0,28.0
16.858366866013967,2.0,28.0
16.901959959068336,3.0,28.0
16.930457522976212,4.0,28.0
16.987383900908753,1.0,30.0
17.04357565008104,2.0,30.0
17.026208352064714,3.0,30.0
17.025020663044415,4.0,30.0
17.953433174057864,1.0,32.0
17.931610838975757,2.0,32.0
17.92242493806407,3.0,32.0
17.964486593031324,4.0,32.0
18.200397084932774,1.0,34.0
18.144157845992595,2.0,34.0
18.23405831598211,3.0,34.0
18.18065439001657,4.0,34.0
18.40160734206438,1.0,36.0
18.30190079694148,2.0,36.0
18.35196827596519,3.0,36.0
18.328280764981173,4.0,36.0
18.480652839061804,1.0,38.0
18.46697348204907,2.0,38.0
18.484349402948283,3.0,38.0
18.54117325693369,4.0,38.0
16.17759360803757,1.0,40.0
16.20679638395086,2.0,40.0
16.108822172973305,3.0,40.0
16.071419122978114,4.0,40.0
16.32947492005769,1.0,42.0
16.375956573989242,2.0,42.0
16.398790701990947,3.0,42.0
16.311903167050332,4.0,42.0
16.67302073002793,1.0,44.0
16.69817107205745,2.0,44.0
16.677969867014326,3.0,44.0
16.69248891598545,4.0,44.0
17.982873169938102,1.0,46.0
18.045345430029556,2.0,46.0
18.02249026193749,3.0,46.0
17.980857766931877,4.0,46.0
17.62722898600623,1.0,48.0
17.56218365591485,2.0,48.0
17.593543759081513,3.0,48.0
17.58597391389776,4.0,48.0
17.948901614989154,1.0,50.0
17.986914301058277,2.0,50.0
17.931100257090293,3.0,50.0
17.938541120034643,4.0,50.0
18.503724064095877,1.0,52.0
18.457791609922424,2.0,52.0
18.46413754997775,3.0,52.0
18.718835341976956,4.0,52.0
19.262892208062112,1.0,54.0
19.30025321606081,2.0,54.0
19.391280294046737,3.0,54.0
19.310182790039107,4.0,54.0
18.826248158002272,1.0,56.0
18.845506882062182,2.0,56.0
18.811288518016227,3.0,56.0
18.868100916035473,4.0,56.0
23.121182659990154,1.0,70.0
23.110585885006003,2.0,70.0
23.17782863008324,3.0,70.0
23.193597490899265,4.0,70.0
23.285678255022503,1.0,71.0
23.33869376196526,2.0,71.0
23.32774048903957,3.0,71.0
23.257707393029705,4.0,71.0
23.44923068594653,1.0,73.0
23.53864742803853,2.0,73.0
23.55729247594718,3.0,73.0
23.523322131950408,4.0,73.0
22.49394505599048,1.0,75.0
22.470183742931113,2.0,75.0
22.489648391958326,3.0,75.0
22.50554793595802,4.0,75.0
23.424488181015477,1.0,77.0
23.53121151693631,2.0,77.0
23.550050642923452,3.0,77.0
23.49697242793627,4.0,77.0
23.89268427703064,1.0,79.0
23.8905599800637,2.0,79.0
23.82414125802461,3.0,79.0
23.81330057105515,4.0,79.0
23.177090637967922,1.0,81.0
23.221702786977403,2.0,81.0
23.215143459965475,3.0,81.0
23.239132645074278,4.0,81.0
23.358558677020483,1.0,83.0
23.33810530998744,2.0,83.0
23.400826707016677,3.0,83.0
23.349904893897474,4.0,83.0
24.569431802956387,1.0,85.0
24.60978705098387,2.0,85.0
24.617259628954343,3.0,85.0
24.650631565018557,4.0,85.0
25.460913831018843,1.0,87.0
25.496794570004568,2.0,87.0
25.391686188057065,3.0,87.0
25.425077556981705,4.0,87.0
26.091312288073823,1.0,89.0
26.054323999909684,2.0,89.0
25.97244641405996,3.0,89.0
26.05323132209014,4.0,89.0
26.609310843981802,1.0,91.0
26.552928630961105,2.0,91.0
26.648843014030717,3.0,91.0
26.639197545009665,4.0,91.0
26.587124516023323,1.0,93.0
26.602753425017,2.0,93.0
26.652156958007254,3.0,93.0
26.639413584023714,4.0,93.0
26.5407581909094,1.0,95.0
26.71228775405325,2.0,95.0
26.622913088998757,3.0,95.0
26.56020124698989,4.0,95.0
27.663302436005324,1.0,97.0
27.629978777025826,2.0,97.0
27.60386027896311,3.0,97.0
27.595831446000375,4.0,97.0
27.471164482994936,1.0,99.0
