Wall clock time [s],Components,Neighbors
2.6533997000660747,1.0,5.0
2.6071558909025043,2.0,5.0
2.656606615986675,3.0,5.0
2.5937323719263077,4.0,5.0
2.67522363003809,1.0,6.0
2.6147016279865056,2.0,6.0
2.707886706921272,3.0,6.0
2.6263644160935655,4.0,6.0
2.7053393290843815,1.0,8.0
2.6410054689040408,2.0,8.0
2.702632062952034,3.0,8.0
2.6363780179526657,4.0,8.0
2.739381297957152,1.0,10.0
2.661020628991537,2.0,10.0
2.7054517209762707,3.0,10.0
2.656660008011386,4.0,10.0
2.7413523719878867,1.0,12.0
2.7804592029424384,2.0,12.0
2.7619064319878817,3.0,12.0
2.771264965995215,4.0,12.0
2.824406119994819,1.0,14.0
2.8224277469562367,2.0,14.0
2.8201633179560304,3.0,14.0
2.8332963519496843,4.0,14.0
2.85903542698361,1.0,16.0
2.863375594955869,2.0,16.0
2.851820508018136,3.0,16.0
2.8794421839993447,4.0,16.0
2.8825503080151975,1.0,18.0
2.914565321058035,2.0,18.0
2.8870698999380693,3.0,18.0
2.9081211880547926,4.0,18.0
2.923588427947834,1.0,20.0
2.957019350025803,2.0,20.0
2.94029743806459,3.0,20.0
2.940657675964758,4.0,20.0
2.973209394956939,1.0,22.0
2.9942102360073477,2.0,22.0
2.9864077400416136,3.0,22.0
3.002307827002369,4.0,22.0
3.0251709860749543,1.0,24.0
3.0331033510155976,2.0,24.0
3.0259727210504934,3.0,24.0
3.0255254859803244,4.0,24.0
3.4644754249602556,1.0,26.0
3.0760067029623315,2.0,26.0
3.0562431910075247,3.0,26.0
3.075318555929698,4.0,26.0
3.113510822993703,1.0,28.0
3.0861427870113403,2.0,28.0
3.0867094720015302,3.0,28.0
3.068312389892526,4.0,28.0
3.263797704013996,1.0,30.0
3.2992364009842277,2.0,30.0
3.297018115990795,3.0,30.0
3.292325397953391,4.0,30.0
3.575181210995652,1.0,32.0
3.6667755149537697,2.0,32.0
3.704806554946117,3.0,32.0
3.72981876693666,4.0,32.0
3.8165134369628504,1.0,34.0
3.8133782849181443,2.0,34.0
3.835041320999153,3.0,34.0
3.872317378059961,4.0,34.0
3.879008842050098,1.0,36.0
3.919751610024832,2.0,36.0
3.902583121904172,3.0,36.0
3.909819171996787,4.0,36.0
4.014702134998515,1.0,38.0
4.033310099970549,2.0,38.0
4.043225685018115,3.0,38.0
4.060503684100695,4.0,38.0
4.286093290895224,1.0,40.0
4.29259229102172,2.0,40.0
4.281709149014205,3.0,40.0
4.281073387945071,4.0,40.0
4.385839941096492,1.0,42.0
4.3997704469366,2.0,42.0
4.446686378913,3.0,42.0
4.427005826961249,4.0,42.0
4.620179262943566,1.0,44.0
4.617205489077605,2.0,44.0
4.623617307981476,3.0,44.0
4.626933699008077,4.0,44.0
4.741130984039046,1.0,46.0
4.707331336918287,2.0,46.0
4.728956415900029,3.0,46.0
4.706125874072313,4.0,46.0
4.735574127989821,1.0,48.0
4.7253127350704744,2.0,48.0
4.735658152960241,3.0,48.0
4.7080655650934204,4.0,48.0
4.862861223053187,1.0,50.0
4.793030365020968,2.0,50.0
4.864534092019312,3.0,50.0
4.804772448958829,4.0,50.0
4.949495841981843,1.0,52.0
4.89837934600655,2.0,52.0
4.947540863067843,3.0,52.0
4.87713454302866,4.0,52.0
5.078548887046054,1.0,54.0
5.05174906400498,2.0,54.0
5.10961475991644,3.0,54.0
5.071428274968639,4.0,54.0
5.074178232927807,1.0,56.0
5.040593106066808,2.0,56.0
5.0837855719728395,3.0,56.0
5.055899528088048,4.0,56.0
5.998978147050366,1.0,58.0
5.967898515053093,2.0,58.0
6.040433979942463,3.0,58.0
5.980467092944309,4.0,58.0
6.127981837023981,1.0,60.0
6.075705033959821,2.0,60.0
6.097688197041862,3.0,60.0
6.028520738007501,4.0,60.0
6.259515163023025,1.0,62.0
6.2168048090534285,2.0,62.0
6.273414997966029,3.0,62.0
6.207463162951171,4.0,62.0
6.441970682004467,1.0,64.0
6.3947966219857335,2.0,64.0
6.432226862991229,3.0,64.0
6.383269471931271,4.0,64.0
6.517867428949103,1.0,66.0
6.481311957002617,2.0,66.0
6.520386034040712,3.0,66.0
6.4416978429071605,4.0,66.0
6.714996173977852,1.0,68.0
6.635483956895769,2.0,68.0
6.711493916925974,3.0,68.0
6.648478096933104,4.0,68.0
6.629943146021105,1.0,70.0
6.617000151891261,2.0,70.0
6.663749812054448,3.0,70.0
6.601715929922648,4.0,70.0
6.819874951965176,1.0,71.0
6.798846610938199,2.0,71.0
6.8231495099607855,3.0,71.0
6.781731175025925,4.0,71.0
6.731332646915689,1.0,73.0
6.735338723985478,2.0,73.0
6.755745901027694,3.0,73.0
6.730580652947538,4.0,73.0
7.063847734942101,1.0,75.0
7.072427464067005,2.0,75.0
7.075301370932721,3.0,75.0
7.081107381964102,4.0,75.0
7.204740350018255,1.0,77.0
7.111469156923704,2.0,77.0
7.165288949967362,3.0,77.0
7.126884591998532,4.0,77.0
7.267592841992155,1.0,79.0
7.197496345965192,2.0,79.0
7.254557093954645,3.0,79.0
7.188671086914837,4.0,79.0
7.442011245992035,1.0,81.0
7.369597853976302,2.0,81.0
7.477425594930537,3.0,81.0
7.435636920970865,4.0,81.0
7.381706211017445,1.0,83.0
7.320076168049127,2.0,83.0
7.43927181197796,3.0,83.0
7.339132740045898,4.0,83.0
8.31847574992571,1.0,85.0
8.25693497993052,2.0,85.0
8.340491378097795,3.0,85.0
8.22908960096538,4.0,85.0
8.428305356996134,1.0,87.0
8.36499587004073,2.0,87.0
8.433141937945038,3.0,87.0
8.334381677908823,4.0,87.0
8.61825278995093,1.0,89.0
8.57315111195203,2.0,89.0
8.62815203203354,3.0,89.0
8.543800371000543,4.0,89.0
8.805497983004898,1.0,91.0
8.67893069202546,2.0,91.0
8.763646216015331,3.0,91.0
8.697272541001439,4.0,91.0
9.21636209602002,1.0,93.0
8.86896940798033,2.0,93.0
8.966524311923422,3.0,93.0
8.886009869049303,4.0,93.0
8.979930753004737,1.0,95.0
8.883464443031698,2.0,95.0
9.013435518951155,3.0,95.0
8.857311985921115,4.0,95.0
9.128134520025924,1.0,97.0
9.081656374968588,2.0,97.0
9.151967664947733,3.0,97.0
9.019547142088413,4.0,97.0
9.265247261035256,1.0,99.0
9.119471939979121,2.0,99.0
9.234465374960564,3.0,99.0
9.129728259984404,4.0,99.0
9.397347848978825,1.0,101.0
9.291247172048315,2.0,101.0
9.625904020038433,3.0,101.0
9.270882496028207,4.0,101.0
9.557972503011115,1.0,103.0
9.421106740017422,2.0,103.0
9.525462689925916,3.0,103.0
9.413006611983292,4.0,103.0
9.619709911057726,1.0,105.0
9.497547616017982,2.0,105.0
9.594463971094228,3.0,105.0
9.490302243968472,4.0,105.0
9.792726866086014,1.0,107.0
9.66424889699556,2.0,107.0
9.784394119982608,3.0,107.0
9.67138737195637,4.0,107.0
9.90651799493935,1.0,109.0
9.806178019032814,2.0,109.0
9.96302476292476,3.0,109.0
9.78851040196605,4.0,109.0
9.969209811999463,1.0,111.0
9.847817596048117,2.0,111.0
9.974228029022925,3.0,111.0
9.86625235597603,4.0,111.0
10.110793609987013,1.0,113.0
9.99165370396804,2.0,113.0
10.124851759057492,3.0,113.0
9.966273043071851,4.0,113.0
10.381007527001202,1.0,115.0
10.321314627071843,2.0,115.0
10.398983901017345,3.0,115.0
10.276405071024783,4.0,115.0
10.510470467037521,1.0,117.0
10.41602465393953,2.0,117.0
10.471765323076397,3.0,117.0
10.43679544806946,4.0,117.0
10.624645978910848,1.0,119.0
10.591671169968322,2.0,119.0
10.990442422102205,3.0,119.0
12.909921069978736,4.0,119.0
11.428531775949523,1.0,121.0
10.77820977603551,2.0,121.0
10.660156663972884,3.0,121.0
10.750463536009192,4.0,121.0
10.813772037974559,1.0,123.0
10.94076607003808,2.0,123.0
10.857631535967812,3.0,123.0
10.889635553001426,4.0,123.0
10.944549815962091,1.0,125.0
11.030269583920017,2.0,125.0
11.009288072003983,3.0,125.0
11.005865231039934,4.0,125.0
11.135294387000613,1.0,127.0
11.147760736988857,2.0,127.0
11.112004100927152,3.0,127.0
11.08511171292048,4.0,127.0
11.263336560921744,1.0,129.0
11.262656582985073,2.0,129.0
11.309325466048904,3.0,129.0
11.277147880988196,4.0,129.0
11.326223477022722,1.0,131.0
11.319427066016942,2.0,131.0
11.317576747969724,3.0,131.0
11.329325850936584,4.0,131.0
11.587617602897808,1.0,133.0
11.873427827027626,2.0,133.0
11.411025988985784,3.0,133.0
11.482019933057018,4.0,133.0
11.50565975799691,1.0,135.0
11.517463846015744,2.0,135.0
11.502882962930016,3.0,135.0
11.961797320051119,4.0,135.0
11.286945155938156,1.0,136.0
11.317901864997111,2.0,136.0
11.330807755002752,3.0,136.0
11.284806100069545,4.0,136.0
11.68191562895663,1.0,138.0
11.65839205798693,2.0,138.0
11.636061553959735,3.0,138.0
